time	V(out1)	V(out2)	V(out3)
Step Information: Cap=1p  (Step: 1/4)
5.674133072419655e-02	8.021773e+00	9.951261e+00	1.057601e+01
5.708844813800013e-02	8.128036e+00	1.016559e+01	1.089831e+01
5.778268296560727e-02	8.370622e+00	1.065381e+01	1.163173e+01
5.790475327810727e-02	8.418274e+00	1.074953e+01	1.177539e+01
5.833199937185727e-02	8.613714e+00	1.114143e+01	1.233622e+01
5.857613999685727e-02	8.772184e+00	1.145870e+01	1.269576e+01
5.898737066199811e-02	9.068547e+00	1.205169e+01	1.331064e+01
5.941565134839506e-02	9.391962e+00	1.269841e+01	1.396352e+01
5.996006921104351e-02	9.812210e+00	1.353803e+01	1.480769e+01
6.093663171104351e-02	1.056621e+01	1.504327e+01	1.631893e+01
6.136387780479351e-02	1.088167e+01	1.567186e+01	1.694931e+01
6.157750085166851e-02	1.106203e+01	1.598059e+01	1.725869e+01
6.194371178916851e-02	1.153159e+01	1.649077e+01	1.776908e+01
6.234944638783326e-02	1.200860e+01	1.697614e+01	1.825451e+01
6.310307130400231e-02	1.273177e+01	1.770606e+01	1.898446e+01
6.407963380400231e-02	1.336964e+01	1.834861e+01	1.962701e+01
6.494989286927327e-02	1.366660e+01	1.864785e+01	1.992621e+01
6.528137480779578e-02	1.370260e+01	1.868429e+01	1.996260e+01
6.575793766184160e-02	1.370730e+01	1.868908e+01	1.996718e+01
6.652967651116888e-02	1.370917e+01	1.868979e+01	1.996729e+01
6.686536987054388e-02	1.365566e+01	1.858195e+01	1.985897e+01
6.710951049554388e-02	1.356484e+01	1.839988e+01	1.967652e+01
6.737188652770308e-02	1.345562e+01	1.818113e+01	1.945737e+01
6.789663859202148e-02	1.320271e+01	1.767531e+01	1.895073e+01
6.887320109202148e-02	1.266393e+01	1.659955e+01	1.787344e+01
6.984976359202148e-02	1.207630e+01	1.542793e+01	1.670029e+01
7.027700968577148e-02	1.180116e+01	1.489131e+01	1.616299e+01
7.039907999827148e-02	1.169441e+01	1.474222e+01	1.601371e+01
7.064322062327148e-02	1.145222e+01	1.446618e+01	1.573731e+01
7.113150187327148e-02	1.096350e+01	1.395899e+01	1.522939e+01
7.157601803112794e-02	1.054820e+01	1.353709e+01	1.480685e+01
7.246505034684085e-02	9.785378e+00	1.276511e+01	1.403358e+01
7.258712065934085e-02	9.691086e+00	1.266977e+01	1.393807e+01
7.283126128434085e-02	9.530716e+00	1.250762e+01	1.377558e+01
7.331954253434085e-02	9.265046e+00	1.223871e+01	1.350598e+01
7.344161284684085e-02	9.225725e+00	1.219869e+01	1.346579e+01
7.368575347184085e-02	9.198833e+00	1.217061e+01	1.343738e+01
7.417403472184085e-02	9.178319e+00	1.214787e+01	1.341401e+01
7.498719968957378e-02	9.163053e+00	1.212908e+01	1.339420e+01
7.529524234013700e-02	9.158568e+00	1.212335e+01	1.338812e+01
7.578048269852175e-02	9.152747e+00	1.211601e+01	1.338036e+01
7.656597538270107e-02	9.146778e+00	1.211040e+01	1.337632e+01
7.668804569520107e-02	9.149284e+00	1.211629e+01	1.338568e+01
7.690166874207607e-02	9.199148e+00	1.221737e+01	1.353797e+01
7.714580936707607e-02	9.275445e+00	1.237137e+01	1.376961e+01
7.752517208958547e-02	9.411263e+00	1.264483e+01	1.418044e+01
7.828389753460425e-02	9.741873e+00	1.330844e+01	1.513831e+01
7.926046003460425e-02	1.025373e+01	1.433360e+01	1.651694e+01
7.962667097210425e-02	1.052160e+01	1.486902e+01	1.709642e+01
8.011495222210425e-02	1.089969e+01	1.562406e+01	1.786536e+01
8.109151472210425e-02	1.164901e+01	1.711936e+01	1.937137e+01
8.145772565960425e-02	1.191209e+01	1.764347e+01	1.989754e+01
8.194600690960425e-02	1.225144e+01	1.830359e+01	2.055976e+01
8.206807722210425e-02	1.235628e+01	1.846722e+01	2.072375e+01
8.231221784710425e-02	1.261579e+01	1.877866e+01	2.103548e+01
8.280049909710425e-02	1.312707e+01	1.931532e+01	2.157228e+01
8.333665689879761e-02	1.357570e+01	1.976814e+01	2.202512e+01
8.431321939879761e-02	1.410649e+01	2.030343e+01	2.256039e+01
8.504139618448039e-02	1.429893e+01	2.049811e+01	2.275502e+01
8.536740544111884e-02	1.432574e+01	2.052557e+01	2.278242e+01
8.589774084532013e-02	1.433635e+01	2.053660e+01	2.279317e+01
8.675435981010204e-02	1.433994e+01	2.053967e+01	2.279538e+01
8.718160590385204e-02	1.433488e+01	2.052840e+01	2.278326e+01
8.751729926322704e-02	1.421815e+01	2.029449e+01	2.254850e+01
8.776143988822704e-02	1.410198e+01	2.006203e+01	2.231542e+01
8.824972113822704e-02	1.384494e+01	1.954831e+01	2.180046e+01
8.922628363822704e-02	1.327747e+01	1.841594e+01	2.066561e+01
9.056905707572704e-02	1.244462e+01	1.675727e+01	1.900352e+01
9.075216254447704e-02	1.232088e+01	1.653222e+01	1.877801e+01
9.105733832572704e-02	1.206044e+01	1.617339e+01	1.841841e+01
9.142354926322704e-02	1.170830e+01	1.580771e+01	1.805183e+01
9.191183051322704e-02	1.128259e+01	1.537233e+01	1.761526e+01
9.288839301322704e-02	1.051772e+01	1.459412e+01	1.683469e+01
9.301046332572704e-02	1.043493e+01	1.451001e+01	1.675029e+01
9.325460395072704e-02	1.029041e+01	1.436322e+01	1.660292e+01
9.331563910697704e-02	1.025674e+01	1.432900e+01	1.656855e+01
9.343770941947704e-02	1.020235e+01	1.427358e+01	1.651284e+01
9.368185004447704e-02	1.012728e+01	1.419660e+01	1.643529e+01
9.374288520072704e-02	1.011787e+01	1.418675e+01	1.642529e+01
9.410909613822704e-02	1.010281e+01	1.416925e+01	1.640695e+01
9.459737738822704e-02	1.009073e+01	1.415400e+01	1.639060e+01
9.514967861198954e-02	1.008009e+01	1.413989e+01	1.637529e+01
9.554368980305847e-02	1.007369e+01	1.413124e+01	1.636585e+01
9.618364155558162e-02	1.006544e+01	1.412049e+01	1.635431e+01
9.716020405558162e-02	1.006544e+01	1.412800e+01	1.637066e+01
9.737382710245662e-02	1.010501e+01	1.420841e+01	1.649181e+01
9.749589741495662e-02	1.014896e+01	1.429690e+01	1.662472e+01
9.774003803995662e-02	1.024358e+01	1.448719e+01	1.691035e+01
9.822831928995662e-02	1.045384e+01	1.490914e+01	1.754304e+01
9.920488178995662e-02	1.091194e+01	1.582672e+01	1.891753e+01
9.963212788370662e-02	1.117035e+01	1.634312e+01	1.958661e+01
9.999833882120662e-02	1.145489e+01	1.691130e+01	2.017503e+01
1.004866200712066e-01	1.183012e+01	1.765996e+01	2.093262e+01
1.014631825712066e-01	1.256058e+01	1.911629e+01	2.239838e+01
1.018293935087066e-01	1.281024e+01	1.961064e+01	2.289468e+01
1.023176747587066e-01	1.313898e+01	2.022363e+01	2.350955e+01
1.026838856962066e-01	1.348524e+01	2.064926e+01	2.393565e+01
1.031721669462066e-01	1.392097e+01	2.110433e+01	2.439084e+01
1.038972892657118e-01	1.438781e+01	2.157789e+01	2.486440e+01
1.048738517657118e-01	1.474983e+01	2.194501e+01	2.523148e+01
1.052530922927694e-01	1.480039e+01	2.199691e+01	2.528333e+01
1.057119473652729e-01	1.480586e+01	2.200340e+01	2.528962e+01
1.064555567218270e-01	1.481033e+01	2.200803e+01	2.529345e+01
1.074321192218270e-01	1.481200e+01	2.200755e+01	2.529113e+01
1.077983301593270e-01	1.476169e+01	2.190649e+01	2.518889e+01
1.082255762530770e-01	1.453972e+01	2.146274e+01	2.474362e+01
1.087138575030770e-01	1.426103e+01	2.090637e+01	2.418550e+01
1.096904200030770e-01	1.366774e+01	1.972374e+01	2.299938e+01
1.106669825030770e-01	1.305683e+01	1.850779e+01	2.177995e+01
1.110942285968270e-01	1.279024e+01	1.798776e+01	2.125839e+01
1.112162989093270e-01	1.269132e+01	1.784720e+01	2.111740e+01
1.114604395343270e-01	1.246987e+01	1.759090e+01	2.086025e+01
1.119487207843270e-01	1.203821e+01	1.713923e+01	2.040688e+01
1.125544149292974e-01	1.154311e+01	1.663349e+01	1.989905e+01
1.126764852417974e-01	1.145290e+01	1.654160e+01	1.980675e+01
1.129206258667974e-01	1.129408e+01	1.637985e+01	1.964415e+01
1.134089071167974e-01	1.100837e+01	1.608862e+01	1.935126e+01
1.135309774292974e-01	1.095130e+01	1.603027e+01	1.929250e+01
1.137751180542974e-01	1.087191e+01	1.594849e+01	1.920989e+01
1.138361532105474e-01	1.086079e+01	1.593681e+01	1.919801e+01
1.139582235230474e-01	1.085183e+01	1.592677e+01	1.918756e+01
1.142023641480474e-01	1.084066e+01	1.591348e+01	1.917347e+01
1.146906453980474e-01	1.082650e+01	1.589517e+01	1.915356e+01
1.151847127879198e-01	1.081557e+01	1.588016e+01	1.913697e+01
1.156007061306711e-01	1.080778e+01	1.586919e+01	1.912477e+01
1.162759045668996e-01	1.079736e+01	1.585482e+01	1.910878e+01
1.172524670668996e-01	1.078576e+01	1.583957e+01	1.909190e+01
1.173745373793996e-01	1.078485e+01	1.583853e+01	1.909078e+01
1.176797131606496e-01	1.079368e+01	1.585772e+01	1.912001e+01
1.180459240981496e-01	1.093261e+01	1.613690e+01	1.953866e+01
1.184120265700749e-01	1.109682e+01	1.646614e+01	2.003195e+01
1.191442315139254e-01	1.144617e+01	1.716559e+01	2.107915e+01
1.195714776076754e-01	1.166324e+01	1.759930e+01	2.172762e+01
1.199376885451754e-01	1.189380e+01	1.805948e+01	2.231836e+01
1.199987237014254e-01	1.193890e+01	1.814949e+01	2.241802e+01
1.203649346389254e-01	1.222390e+01	1.871810e+01	2.300001e+01
1.208532158889254e-01	1.259107e+01	1.945000e+01	2.373953e+01
1.218297783889254e-01	1.329302e+01	2.084801e+01	2.514601e+01
1.221959893264254e-01	1.353481e+01	2.130780e+01	2.560740e+01
1.226842705764254e-01	1.388441e+01	2.187026e+01	2.617116e+01
1.230504815139254e-01	1.420787e+01	2.223939e+01	2.654055e+01
1.235387627639254e-01	1.455760e+01	2.260236e+01	2.690359e+01
1.245153252639254e-01	1.501394e+01	2.306861e+01	2.736985e+01
1.251186800080556e-01	1.514903e+01	2.320722e+01	2.750842e+01
1.254932315808327e-01	1.516981e+01	2.322946e+01	2.753057e+01
1.261018994416667e-01	1.517615e+01	2.323712e+01	2.753776e+01
1.270784619416667e-01	1.517978e+01	2.323953e+01	2.753843e+01
1.280550244416667e-01	1.515966e+01	2.319675e+01	2.749275e+01
1.283907178010417e-01	1.502303e+01	2.292370e+01	2.721823e+01
1.286348584260417e-01	1.488359e+01	2.264532e+01	2.693872e+01
1.291231396760417e-01	1.459074e+01	2.206127e+01	2.635244e+01
1.300997021760417e-01	1.398484e+01	2.085479e+01	2.514148e+01
1.310762646760417e-01	1.337697e+01	1.964629e+01	2.392851e+01
1.311983349885417e-01	1.329879e+01	1.950079e+01	2.378245e+01
1.314424756135417e-01	1.312873e+01	1.922287e+01	2.350342e+01
1.316255810822917e-01	1.296835e+01	1.903191e+01	2.331163e+01
1.318697217072917e-01	1.275397e+01	1.880342e+01	2.308203e+01
1.323580029572917e-01	1.237081e+01	1.840702e+01	2.268345e+01
1.333345654572917e-01	1.170608e+01	1.772574e+01	2.199783e+01
1.334566357697917e-01	1.163807e+01	1.765603e+01	2.192759e+01
1.337007763947917e-01	1.152908e+01	1.754397e+01	2.181445e+01
1.337618115510417e-01	1.150838e+01	1.752255e+01	2.179275e+01
1.338838818635417e-01	1.148482e+01	1.749760e+01	2.176727e+01
1.341280224885417e-01	1.146274e+01	1.747288e+01	2.174149e+01
1.346163037385417e-01	1.144387e+01	1.744887e+01	2.171539e+01
1.351568037975393e-01	1.143043e+01	1.742990e+01	2.169415e+01
1.355552866868288e-01	1.142196e+01	1.741760e+01	2.168025e+01
1.362024166722259e-01	1.141016e+01	1.740065e+01	2.166108e+01
1.371789791722259e-01	1.139564e+01	1.738034e+01	2.163807e+01
1.373010494847259e-01	1.139433e+01	1.737861e+01	2.163610e+01
1.375451901097259e-01	1.139291e+01	1.737713e+01	2.163449e+01
1.380334713597259e-01	1.140503e+01	1.740352e+01	2.167451e+01
1.382470944066009e-01	1.146333e+01	1.752075e+01	2.185009e+01
1.386133053441009e-01	1.163265e+01	1.785995e+01	2.235790e+01
1.391015865941009e-01	1.187679e+01	1.834809e+01	2.307823e+01
1.400781490941009e-01	1.240321e+01	1.939910e+01	2.457704e+01
1.404443600316009e-01	1.266795e+01	1.992700e+01	2.516680e+01
1.409326412816009e-01	1.303197e+01	2.065224e+01	2.590852e+01
1.419092037816009e-01	1.372630e+01	2.203430e+01	2.729993e+01
1.422754147191009e-01	1.395975e+01	2.248526e+01	2.775250e+01
1.427636959691009e-01	1.428108e+01	2.303160e+01	2.830022e+01
1.431299069066009e-01	1.458734e+01	2.339095e+01	2.865986e+01
1.436181881566009e-01	1.491988e+01	2.373853e+01	2.900751e+01
1.445947506566009e-01	1.534806e+01	2.417712e+01	2.944611e+01
1.451486890333551e-01	1.546285e+01	2.429555e+01	2.956448e+01
1.455420791365863e-01	1.548253e+01	2.431706e+01	2.958588e+01
1.461810335606061e-01	1.548975e+01	2.432614e+01	2.959442e+01
1.471575960606061e-01	1.549478e+01	2.433085e+01	2.959725e+01
1.481341585606061e-01	1.549373e+01	2.432581e+01	2.958911e+01
1.485614046543561e-01	1.542957e+01	2.419787e+01	2.945901e+01
1.489276155918561e-01	1.521565e+01	2.377107e+01	2.903019e+01
1.494158968418561e-01	1.491548e+01	2.317292e+01	2.842932e+01
1.503924593418561e-01	1.430702e+01	2.196214e+01	2.721312e+01
1.513690218418561e-01	1.370668e+01	2.077147e+01	2.601703e+01
1.514910921543561e-01	1.362442e+01	2.062965e+01	2.587454e+01
1.517352327793561e-01	1.343115e+01	2.037456e+01	2.561811e+01
1.522235140293561e-01	1.303766e+01	1.994402e+01	2.518491e+01
1.530342276476955e-01	1.244334e+01	1.933183e+01	2.456833e+01
1.531544944114621e-01	1.236704e+01	1.925355e+01	2.448940e+01
1.533950279389953e-01	1.224507e+01	1.912809e+01	2.436265e+01
1.538760949940618e-01	1.205598e+01	1.893235e+01	2.416433e+01
1.539963617578284e-01	1.202823e+01	1.890302e+01	2.413436e+01
1.542368952853616e-01	1.200682e+01	1.887859e+01	2.410866e+01
1.547179623404281e-01	1.198499e+01	1.885084e+01	2.407839e+01
1.551949400465727e-01	1.197149e+01	1.883161e+01	2.405671e+01
1.556173479393460e-01	1.196155e+01	1.881689e+01	2.403991e+01
1.563028119120324e-01	1.194774e+01	1.879657e+01	2.401664e+01
1.572793744120324e-01	1.193379e+01	1.877680e+01	2.399382e+01
1.582559369120324e-01	1.192638e+01	1.876751e+01	2.398282e+01
1.584695599589074e-01	1.194755e+01	1.881038e+01	2.404674e+01
1.588357708964074e-01	1.211904e+01	1.915356e+01	2.456003e+01
1.592876278738941e-01	1.234661e+01	1.960817e+01	2.523785e+01
1.603134121413674e-01	1.289931e+01	2.071059e+01	2.682772e+01
1.605575527663674e-01	1.307920e+01	2.106903e+01	2.722196e+01
1.610458340163674e-01	1.343863e+01	2.178469e+01	2.795773e+01
1.620223965163674e-01	1.412158e+01	2.314326e+01	2.932526e+01
1.623886074538674e-01	1.434871e+01	2.358162e+01	2.976507e+01
1.628768887038674e-01	1.465886e+01	2.410835e+01	3.029300e+01
1.632430996413674e-01	1.494968e+01	2.445065e+01	3.063556e+01
1.637313808913674e-01	1.525829e+01	2.477435e+01	3.095932e+01
1.647079433913674e-01	1.564546e+01	2.517265e+01	3.135761e+01
1.651911906072582e-01	1.573256e+01	2.526328e+01	3.144820e+01
1.656112469899954e-01	1.574951e+01	2.528251e+01	3.146728e+01
1.662929487870385e-01	1.575785e+01	2.529325e+01	3.147737e+01
1.672695112870385e-01	1.576356e+01	2.529897e+01	3.148103e+01
1.682460737870385e-01	1.576282e+01	2.529440e+01	3.147310e+01
